Latitude,Longitude
38.214525057432,21.821499602166
38.215502889974,21.822014586297
38.216649297601,21.822057501641
38.217492232863,21.821671263543
38.218200290937,21.821671263543
38.219009491727,21.822100416985
38.219953547941,21.821928755608
38.220459287303,21.822057501641
38.221099885448,21.822787062493
38.222178774837,21.822787062493
38.222650783914,21.823173300591
38.222920502012,21.823559538689
38.222886787304,21.824417845574
38.222886787304,21.824804083672
38.223122789929,21.82519032177
38.223493649649,21.825662390557
38.223426220749,21.826391951409
38.223055360686,21.827593581048
38.22362850726,21.827636496392
38.224302791567,21.827293173638
38.224741073015,21.828709379998
38.225347919891,21.828709379998
38.225314206308,21.829696432915
38.224842214512,21.830297247735
38.224437647678,21.830898062554





https://maps.co
"Created with Maps.co Map Maker"
