latitude,longitude
38.214190008238,21.819629266649
38.215538745551,21.820745065599
38.216954892826,21.819629266649
38.217426935793,21.82014425078
38.218843046321,21.820573404222
38.220326561123,21.820573404222
38.221338031146,21.820573404222
38.222079766892,21.820745065599
38.223428357965,21.822032525926
38.224237500609,21.823234155565
38.225518624723,21.824607446581
38.228013380617,21.827954843431
38.229694975393,21.834942797347
38.229155588434,21.830393770858
38.230301780941,21.83588693492
38.229357859012,21.838891009017
38.228346500495,21.838547686263
38.227065426185,21.839234331771
38.226323741272,21.838204363509
38.226458593637,21.835028628036
38.225379767718,21.834341982528
38.224705493394,21.837002733871
38.225244913353,21.839491823836
38.224570637779,21.842152575179
38.222480343781,21.841980913802
38.222008333598,21.839405993148
38.221266597124,21.835028628036
38.220389989723,21.837861040755
38.220524853088,21.842495897933
38.220929441681,21.845414141341
38.220120262244,21.85056398265
38.218704176574,21.847903231307
38.217894972388,21.846186617538
38.216276537019,21.84266755931
38.214725502678,21.845414141341
38.215399869497,21.8516797816
